Kapampangan,English
Talacad,"Neutralverbanditsinfin itive , tostandonones feet; a lsoanac tiveverb , italacad"
Talocbong,to fly asunder like a rocket; to burst apart and scatter
Talactac,"Activeverbanditsinfin itive , m analactac"
Talad,to taper or sharpen a blade (on a wooden club or on leather)
Taladtad,a row or line (like letters in a handwritten or printed line of text)
Talaga,"N oun , awe ll"
Talaib,"A weed, or grass, thicker than Ilib"
Talam,"And its frequentative, talamtalam, to suffer, or feel an upset stomach, when there are signs, or tendency to throw up, or to vomit"
Talampacan,The sole of the foot
Talamuri,a bird with red eyes
Talamtam,"N eutral verb, the intestines bubbling up, or makingastir, like inastomach ache, or belly ache"
Talan,"The grasp, or the hold on something material"
Talangdang,"Said ofawoman who is fond fo gaddying about with naughty eyes, less modest, and even lewd, a coquette"
Talandon,"One who is carried away, likeawoman byaman, jumping out of the window, or the batalan, and the object"
Talatag,"Row, file, column, as inasquadron, troop of soldiers, or cavalry"
Taldaua,"Said in relation to dayatan, it is higher land, and is far from the road, or fromariver which is low land, all these are taldaua"
Tali,"Also, Active verb and its infinitive, manali"
Taling,"Taling taling, and Mi, frequentative, to go along shaking the head, like an arrogant person, full of airs, a great dolt"
Talin?A,One with flabby ears
Talingting,"To examine, to define, to make something plain, to ascertain, to discern, to investigate minutely, to verify until the last distinctions, or ultimate differences, like what I am attempting to do with the root words of this language"
Tal?P,A peeled object
Talipapa,Synonym of Talangpas
Taliri,Finger
Talisud,To make the road slippery on purpose
Talo,"Wax, beeswax"
Talpac,Antonym of Bulay
Taltal,"Slowness in talking, like one who pronounces the letter M, distinguishing it well from the letter N, and also the letter"
Talubang,Butterfly
Talubitbit,"A thing that is carried, and usually hanging from the hand, like fish, meat, orabread basket so that it could be offered to someone, and Talubitbit fits well the gifts of the Three Kings, and for the same reason, it is well said of any other offering, present, gift"
Talubu,to sink; to go under water
Talucab,"A covering, like the shell ofacrab, Talucab ayama"
Talucbung,"Mag- talucbung, to use it"
Talucud,"Prop, or bamboo pole that is used to prop the shed ofasidewalk vendor"
Taluctuc,"The peak, the top, or tip that goes high"
Taludtud,To place things close to one another
Taluguigui,"Opening ceremonies, presenting excuses, a long introduction"
Talugtug,"Inclining downwards, proclivious"
Talumpac,to place something over the arm of a chair or window sill; a bird roosting on a perch
Talumpuc,"Piled, heaped, like sheaves of palay, or wheat"
Talunasan,A species of eel
Taluntun,Manaluntunan
Talung,"A herb and its fruits, which look like small melons"
Talunco,"Maca, be idle"
Talungtung,"The top end, or pinnacle, like the top ofastanding post, or the ridge ofaroof, or the point ofaweather vane"
Talurang,"Stepsof a ladder, or staircase, where one goes up, or goes down"
Talus,"To pass through, like an arrow, or sword, to pass over, across, through road, or rivers, narrow passages, lanes, or rivulets"
Talusad,"N oun , asl i p , aslid e ; slippe riness, smoo thness"
Talustus,subtlety; firmness; sharpness like that of a needle with a fine point
Tamac,to stamp or press down
Tamad,"laziness (opposite of sipag, industriousness)"
Tamayoc,"And that of Ma: it is said ofapouch, or money-bag that is taut, or strained, because it is full"
Taman,"Ease-loving, spoiled"
Tambac,A small lot or area forabuyal (accretion)
Tambulug,"In whom, among whom, or the companions"
Tambong,"To boil the dish of meat and vegetables, like what is done by cooks, and is also said of boiling camotes, or ears of com"
Tamimi,The arms
Tamo,"A known root crop, like Angay"
Tampa,"A slap with the palm of the hand, on the table, or onaliving body"
Tamsic,Mamsic
Tamtam,"An active verb and its infinitive, manamtam"
Tamu,Ustment
Tamumu,"A species of bees, that are similar to wasps"
Tamual,"That bulge on the cheek, or cheeks, because the mouth is full"
Tana,"Magtan, reciprocal, to hide, or remove the hairs that join ones eyebrows, like the Maquilay"
Tanac,"Pure, or refined, like gold, orawell-tempered iron, or honed blade, Tanac ya molang, tanac ya lub quing camulan?an, or, cabanalan, he is sharply foolish, he has been honed in foolishness, or holiness"
Tanam,"To plant, to sow"
Tandoc,"A cupping glass, orasucker made of horn, with which blood is sucked"
Tandus,"A spear, lance"
Tangab,"A thing split, or cracked open, like one who cleaves dry wood, upon being stricken by the axe, the wood splits, or breaks into firewood"
Tan?Ad,N eutral verb
Tan?Al,"A rod, or stick, of one at mangrove; it is red-colored"
Tan?An,Towards
Tanggap,"To receive, to accept"
Tanggi,"That which is declined, like to decline from exposing the sins, or to decline in lending"
Tangguilo,"A piece of paper, or flat stick with which the anus is wiped of the excrement"
Tan?I,"Properties acquired duringamarriage, conjugal properties; goods belonging to the military, or quasi military"
Tan?Is,Weeping
Tanglad,"A groove, or indention at the tip ofapole, or bamboo, formed likeapitchfork, to secure something, to firm something"
Tanglay,"A small tree, whose young leaves are used as ingredient for cooking fish"
Tanglon,A cerain common timber
Tan?O,"Agreement, contract, like one who says yes ith the nodding of his head, and from this, it extends to all contract, or agreements"
Tapac,A large plate
Tapayan,"A large earthen jar, cantaining about 11 gallons of liquid"
Tapal,"A poultice, a patch, or large plastering"
Tapang,"Valor, bravery, courage, active enmity, animosity"
Tapas,"A lopped, or pruned, or trimmed object, likeaplant, oratree"
Tapat,"Exact, just, loyal, truthful, faithful"
Tapil,"Flat, flattened thing, like birinbin"
Tapios,"A thing cut obliquely, like Dapios"
Tapis,"Upper petticoat, outer garment worn by women around the waist down"
Tapitapi,"Halfatapis, reaching to the knees"
Tapoc,A matter that is poured intoavessel
Tapun,"Past, Tepon, that which"
Tarus,"Alan tars, alan tus, Alan pinto: all are the same, without dread, irreverent, without awe, without respect, uncivil, without imprudent, circumspection"
Tasic,"Lye, bleaching liquid"
Tasican,"Hand-basket, bigger than the Tag"
Tasoc,"Wooden peg, or pole like the one used in raising, or pushing up the window, the crossbar securing the window, so it will not slip off"
Tastas,"A thing that is ripped, unseamed, likeacloth, or dilapidated, disjointed, like the dingding"
Tata,The dog
Tatac,"To cut on, or engrave on metal, P"
Tatad,The grub that gnaws on the palm trees
Tatag,"That which, like the premises, the form, or matters, for the celebration, that it may come out well"
Tatap,"Past, Tetapn, the place from where they draw the matter sifted, to where they throw the chaff, or siftings"
Tauing,"Synonym of Tauil, but in reference to the dangling of the private parts of males"
Taul,one who is led or guided by another
Tauli,"A djective, coming after, remaining behind, at the back, at the rear, contrary to Muna"
Taun,A sickness of infants (of blood and fever)
Taung,"A species of mussels, big ones: Verb, Manang, menang, to catch, or gather them"
Tauo,"Man, human being, male, or female, the human race, human kind"
Tiaya,"Tiayatiaya, frequentative"
Tiba,"To bake, or to fire earthenwares, like pots, bricks, etc"
Tibaba,"Cuttings, made on the side ofatrees trunk, like ladder steps, or footholds for climbing"
Tibabayat,"Describingawoman on the last stage of pregnancy, close to term of giving birth (parturition), heavy with child"
Tibac,"Swollen leg, more on the lower part than on the upper part, because of some illness one has suffered"
Tibag,"To destroy, or abrade gradually, like those quarrying for stones, or demolishingawall, orarampart"
Tibay,"Strength, firmness"
Tibatib,A medicinal herb
Tibi,The extreme edge ofathing
Tibsuc,"To giveapunch, oraprick"
Tibu,"The side fins/spine of some fishes, with which they inflict injury/harm"
Tibubus,"Is said of someone who is calm/peaceful, thoroughly at ease, after having come out of some distress, anxiety, fear, or hardship"
Tibul,"The wind passing throughahole, or crack on the wall"
Tibulus,"The main trunk, or whole length of the sugar cane"
Ticul,"Maca, become limping"
Ticum,Manicum
Ticumcum,"Mag, to huddle, or muffle oneself up (from cold, fear, etc.)"
Ticungcung,"Mag, to huddle oneself by embracing the knees"
Ticus,"Deviation, disdain for what one liked , was fond of previously"
Tigab,"Belching, eructation"
Tigagal,The one who
Tigang,to let something lose its freshness or verdure so it can be used as lumber or firewood
Tigbalang,A known bird
Tiguis,"The delicious taste of tuba (palm wine), made from the sap of nipa palms, buri palms, or coconut palms"
Tiguit,The tightness ofathing well packed/encased
Tigotao,"To search diligently, to grab and snatch things from another, from whom one gets more than what he leaves behind"
Tiltil,"To dip lightly, like one who dips his fingers in holy water, or dips the quill into ink"
Tilunas,"Gracefulness ofatree without branches, like the luyos"
Tilus,"Shapness, pointedness of the tip, likeof knife"
Tima,"Also, active verb and its infinitive, manima"
Timan,A smile
Timang,"Foolish, stupid"
Timanman,"The act of seeing, the viewing"
Timaua,free; one who can do as they wish unless hindered by force or law
Timba,"A bamboo, or wooden pole used as an implement for drawing water out ofawell"
Timbabalac,A species of lizards
Timbang,"Or, Catimban?an, abstract, the weight"
Timbulan,"N oun , buo y , or, lifebu o y , lifev e st, ortheb amb o o , orlogtowh icho neh o ldsfast whilesw immin g"
Tim-Mias,"N oun , rema rkab ility , not hav inga nyth ingv a in , orempty , like a fu llgr a in , orr ic e"
Timucmuc,"Magtimucmuc, tohu ddleon e se lf, bec auseof co ld"
Timpan,"A d jectiv e , akindo fdream , some k indo f imag inatio n"
Timpo,a sitting posture of a woman with legs folded to one side
Tina,tinted or dyed darkly; dyed black
Tinan,", onewhohassuspicion s"
Tinao,goodness; virtue; moral quality
Tinauac,Slenderness of the waist-line
Tinap,Tuminap
Tindag,Brilliancy
Tindayag,"To hang, or display something where all could see it, like merchandise in the store, in view of everybody"
Tbndaragul,the index finger or thumb; the big toe of the foot
Tindig,"The upright posts, or braces on which the crossbarsof a dingding rest to make it erect, or upright and firm"
Tin?A,"A coin and its weight, halfatael, i"
Tinic,"Matinic, metinic, verb, to settle, like boiling water; to quiet down, like the agitated water of the sea"
Tinti,"Of plurality; it does not go with the singular, or individual"
Tingcayad,"Maca, be seated inasquatting position"
Tiop,Or tumiop
Tipa,That which/one who
Tipan,"Said of one who gives his word, and at the same time givesaterm, a space of time, setsadate, a duration"
Tipas,distancing oneself physically or morally from another person
Tipid,N oun
Tipla,to clear or harvest sugarcane; to peel sugarcane
Tipo,toothless
Tipon,to gather; to collect; to assemble
Tipul,a bird with a head like a goose but with long legs
Tipos,to put something into a deep hole and cover it on purpose; to involve oneself in another persons affair
Tiquis,"A dve rb , w ithap ass ivea spec t, w ith reso lvea ndin tent"
Titi,"What is liquefied, melted, or fried"
Tiuala,"Trustful, trusting"
Tua,"Age, ancientness, antiquity, coming of age"
Tuad,a stake or pile below water where boats are usually in danger
Tuag,to push or propel with a pole
Tual,"N eutral verb , tual, ortumual"
Tuaric,"N eutral verb , tuaric"
Tuati,to walk behind like a servant or dog following its master
Tuba,"N oun , liq uor / sap fro m thep a lm s"
Tubab,"A d jectiv e , half - dea f"
Tubal,to announce publicly; to proclaim
Tubao,Synonymof Lubao
Tubas,"M a, neu tra l , theliquo r /sap bec ominga c id ic"
Tubebay,"Synonymouswith Tiueuay, frequentative , tubetubebay"
Tubbiad,spongy; soft and porous (of wood or bamboo; unfit for use as a club)
Tubig,Tubigtubigan
Tubu,"The nature of things in as much as producing their own kind, like all the plants, or animals, or like durability being the nature of the 404 molave, and softness is the nature of papayas, to have beards is the nature ofaman, not ofawoman, and to be risible is the nature of men and women"
Tucso,"Temptation, provocation to evil"
Tuctuc,bill or beak of a bird
Tucud,"That prop, placed against houses that are leaning to one side; in order to support, or prop them"
Tucung,"Bucket, with which to draw out water"
Tucup,"The knee, or knees"
Tudlung,An addition
Tugac,"N oun , fro g"
Tugagas,something that becomes clean because its color has faded or a stain has disappeared
Tugapis,to slice unevenly (as a bread or papaya sliced crookedly)
Tugas,to dry out; to become hard and dry
Tugui,"N oun , asp ecieso fsw eet pota toes (camotes)"
Tugpa,"N oun , fond ness, ta ste , orn a tu ralinclinatio n , likethat whiche ven animalsha vetowa rds soc iabilitywith theirow nkin d , orlikea mon gme n , som eha vea natu ralinclinationtowa rdsthele tte rs , and o thers towa rdsw eap ons"
Tugtug,to strike or beat (as a drum or bell)
Tugut,to follow; to comply; to go along with
Tuitui,A large china jar
Tula,"Joy, gladness, contentment"
Tulabut,"It is also said of the lack of modesty, or disrespectful conduct of women"
Tulac,"To push, to incite, to jostle"
Tulad,What is made to look alike with another
Tulapis,"Squirt, spurt, jet"
Tulasuc,"NeutralverbanditsandMi, Itulatu lasucinfinitive , frequentative , tospurt, likeb lood , fromawound , Itis liketulari, butthis tulasucdoesnotcall forc omingoutofan arrowpass age"
Tulatud,rump or croup of a bird; the tail area of a cock
Tulauc,"N oun , thec row ingo facock"
Tuliapis,"A d jectiv e , thep a laythat has emp tygr a in s"
Tulicsa,to turn around suddenly; to spin to face the opposite direction
Tulid,"a thing directly in front of another; aligned above, below, or in front"
Tuling,Blackness
Tulingtuling,"Frequentative, and that of Mi, to move, or to act giddily, or, wildly, restlessly"
Tolo,A certain ailment of the ears
Tuluapis,to drag or trail along the ground
Tulud,"Shoots, or new leaves ofaplant"
Tulut,Manulut
Tuma,"Body lice, not head lice"
Tumad,"Fortune, good, or bad"
Tumal,"That defect ofatool, instrument, implement, which more often does not cut, though hined, or whetted"
Tumbaga,"Bronze, a metal similar to copper, but harder"
Tumbalas,"To remunerate, to recompense"
Tumban,"The foot, or the motive"
Tumbas,Synonym of Tmbalas
Tumboc,"to rush and strike with a blow or punch (as a cock in a fight, or a ship ramming)"
Tun?Atung,"The edge on the stem, or on the prow"
Tungco,"Trivet, composed of three stones"
Tungcul,"Ownership, possession, a claim, either by nature, or of justice"
Tungcus,a kerchief or leaf wrapping for an object
Tungdon,nape of the neck; back part of the neck
Tungga,to steal the sap (tuba) of a palm tree
Tunggac,"A ctive verb and its infinitive, manuneeac"
Tunlac,a deep miry place; bog
Tuntun,orderly; arranged according to rule; in proper order
Tunud,mature judgment; prudence; discretion
Tupag,small china jar in the shape of an earthen pot
Tupad,even number (opposite of odd)
Tuqui,being led or following behind
Tuquil,cylindrical bamboo container
Tuung,bucket; bamboo pipe or cylindrical container
Tutug,bald; hairless
Tutul,report; legal plea or complaint
Tutung,to burn by overcooking until blackened or charred
Tutup,ribbon or tape sewn on the edge of a garment; hem or border
Tutus,cleansed; brought out and made clear
Vala,"The ship departing from the shore, like to go toadeep bay, or to begin its voyage to sea, including, to swerve away, or to change course in general"
Valac,"To mangle, or break into pieces with anger and fury"
Valay,Depart from me
Vali,"Younger brother, in relation to its older siblings; used also for pigs, etc"
Valo,"Macaualo, said ofaspecies of snake which is deadly venomous, and can live both on land and in the water: so goes the story"
Vanan,All that is on the righthand side
Vangis,"Alike, similar, formally and materially"
Vanguang,"To chase away something withastick, oracloth, like hens, mosquitoes"
Vari,"Uariman, non uariman, non uaripaman, given but not admitted, admitted but not conceded"
Ubac,bark of a tree or banana trunk (layers that peel one by one)
Ubad,fee paid to a landowner for the right to hunt or cut trees on the land
Uban,grey hair; grey-haired
Ubat,gunpowder
Ubi,ube; a purple root crop
Ubingan,snakes (in general)
Ubu,fullness; filled to the brim
Ubub,heart or core of a palm tree (staple food of the balugas people)
Uclub,Ucluban
Ucuc,"Certain grubs that thrive under rocks, good to ripen boils, or malignant fustules"
Ucul,idea; concept; thought
Ucom,bent; inclined; bowed low (as a tree brought down by weight)
Ulac,Manvulac
Ulad,worm (in general)
Ulam,viand; the dish eaten alongside rice
Ulang,prawns; large shrimps
Ulap,mist; light drizzle
Ulbuc,"Over heap, overflow, like Ubu, but not in the formal sense, with its variations"
Uli,"On account of, with genitive, or nominative, Uli mu, or, ulingyca"
Ulic,Manulic
Ulid,"Yulidco, without saying more, he speaks of his body, and of himself"
Ulila,orphan; one who has lost their parents
Uling,charcoal; soot from charcoal
Uman,to redo or repair something done incorrectly; to remake
Umang,"A trap that is set up, in general, to catch something"
Umbong,"A thing that is raised up in the middle, like an empanada, or meat pie"
Umis,"A fault, a defect, like being hunchbacked, one-eyed, or cross-eyed (duling), or lame / limping, Pugut, son ofawitch, descendant of a Jew"
Umuc,"Odor of dampness, like palay rotten by moist"
Umum,"Terrified, unable to utteraword, or to speak due to shock, or due to shame"
Una,"N eutral verb and its infinitive,muna, to be the first, to precede"
Untun,"Girdle, which serves asapouch/pocket"
Unun,"To shake, or to jumbleabasket in order to contain more"
Unus,"It is said of what is assigned toaday-laborer, who works not for many days, but for only that much of what he worked on as agreed upon"
Unggac,"Unggac unggac, and frequentative Mi, the dying person gasping for breath /air"
Ungquit,"Maquiungquit, attempting to procure, or solicit foracertain jewelry"
Ungsul,"To pierce, to run through, like 428 with the horns ofabull"
Un?Ot,"Coconut, the palm tree and fruit"
Upa,"Wage, payment for work done"
Upac,"The rind of the base, or trunk ofabanana plant"
Upaya,"Power, authority"
Uqui,"To catch up on the accounts and ask, or check on the deficit"
Uquiat,"One who goes up by climbing, and by means of"
Uquil,"Cut obliquely, or across, or crosswise, likeapiece of wood, or clothing"
Urali,"Also, Paurali, one who excites/ incites another increasingly, (not unlike dogs), like, a boy that he may run faster, or to fight more"
Uram,"Uramuram, to blink, flutter the eyelashes, one who has sore eyes, or one not fully awake, or is half-asleep, or is sleepy, or drowsy"
Uran,rain
Urira,"Cauritan/cauriran, this excess, inquisitiveness"
Urud,Hair shaved byarazor
Urung,"Urngya lub, reticent, is saidof a friend who withdraws from the occasion, or venture"
Usa,"Deer, in general"
Usang,"Its root is Ausans, asthma"
Usad,"To sow, I, e, plant seeds, or other plants, using the hands"
Usbong,"The whole leaf of Saguin, or the whole length ofabamboo, shorn of its branches"
Usdun?An,"Window case, balcony, sill, railing, like ofawindow"
Usi,"Maquisugo, in relation to the person for whom one works, or those who go to reap, 430 to sow, or to plow, and in the same respect, withaday laborer, or one paid in the same money, and the construction is in the active"
Usig,"To go with the current, or thewinds direction, to follow without contradiction the wish of another person, or the urges of the appetites"
Usisa,"Abstract, solicitude"
Usta,Explanation
Ustuang,A sorcerer
Usuc,"Synonymof Usuc, with is variations, but it cannot speak of the post"
Usup,To bribe
Utac,"Brain, marrow, shin bone marrow"
Utay,"To make it little by little, to sell, or to buy, or to give, or to set aside in small amounts, to retail"
Utal,"Stuttering, stammering"
Utang,Manutam
Utap,Dust produced by woodborers
Utas,"Separated, finished in this manner, like wood that has been cut, then consequently chopped into pieces"
Utuc,"To bend, to archapole, or rod"
Utus,"Precept, decree, commandment"
Utut,Manutut
