Kapampangan,English
Lutlut,"And its infinitive, manlutlut"
Lutu,"A thing boiled, or cooked"
Magcas,valiant; vigorous; brave man
Maguin,a grammatical particle with various uses
Magun,partly; halfway
Magurung,midday; the period from morning to noon
Maibi,doe; female deer
Main,to take a stroll; to go for a walk
Maiutput,precious; costly; expensive merchandise
Mala,to work wonders; to perform miracles
Malabay,likely to happen; on the verge of (often implies danger or temptation)
Malay,sense; awareness; consciousness
Malasmas,to observe carefully with eyes wide open; attentive watching
Mali,to err; to miss; to make a mistake
Malim,feverish; the onset of fever
Malingmingan,the temples (sides of the head)
Malit,"SynonymofM alay, with itsvaria tions"
Malmal,to roll food into rounded lumps by hand (as when eating rice)
Malun,grief; repentance; regret
Malutac,"M amalutac, memalutac, is sa id"
Mama,"a term of great excellence applied to women, angels, or saints"
Mamoc,labors and misfortunes that befall a person throughout life
Mamsa,"waves that upturn not on shore but in the open water, one after another"
Man,Adverb
Mana,Inheritance
Manaman,"(like ca-sa ca-sa), rarely, seldom"
Manda,to retreat from or retract a promise; to go back on ones word
Mandas,"Mandas, mindas, to explode, to burst out, like matter that is dormant, or interior heat, or gun powder that is ignited inside; the root is related to atdas"
Manibangbayan,"A Tagalog word, adopted here"
Manta,"Mamanta, memanta, that which sticks on, like with paste, or glue"
Mantala,"Superstition, vain observance"
Manoc,"Chicken, which embraces all kinds of chicken, and all its lineage, rooster, hen, chick"
Manuyang,"Son-in-law, or daughter-in-law"
Manga,"Conjunction, like at, ampn"
Mangal,"Bad odor, stench, likeadecomposing corpse"
Mangat,A derivative of Angat
Mangcoc,"A cup to drink water from, bigger thanasulyao"
Mang-Gap,Mang-gap nangebalo
Manginaquin,"The place, or to whom he swings his feet inaplayful manner"
Mangmang,"Foolish, cowardly"
Mangsa,"Mamangsa, memangsa, to boast, or brag, recounting his exploits, heroic feats, achievements, etc"
Mangutatan,"Past, Mengutatan, become overstuffed, likeapillow case almost bursting at the seams with stuff, oravery compressed hand, or the belly almost bursting to its fullness"
Mapa,"Mamapa, memapa, to exult, to applaud by clapping the hands MAQUI"
Maquibat,"Past, Mequibat, to answer"
Maquiua,"Stag, male deer"
Maro,"Competidor, rival (male, or female) in courtship, gallantry, or intrigue"
Masa,"The time of any thing, masan, malsaquiti, time for sowing"
Masing,"Badly disposed, of bad disposition of persons, and of things"
Masmas,"When he is relieved ofafever that was affecting him so grievously, and from this, it is said of one who survives great trials and comes out ,I towardsawell-rested life: all isaconcept of surviving, passing from one extreme to the opposite extreme, Habitantibus in umbra mortis, lux orta est eis, To those living under the shadow of death, a light has shone upon them"
Mata,eye
Matamata,"Small grains of palay, like fennel seeds usually found in cooked rice that was badly washed, for the weed somehow got mixed with the palay at threshing time"
Matay,"Mamamatay, metay, mat ay, to die; variations: Mamatay, mematay, or, mangamatay, mengamatay, if many"
Mato,"Magmat, migmat, with intent, become tenacious, or, rebellious, not wanting to do anything that he is commanded to do"
Mauli,"Southern, that part, or region that is opposite of Pangolo, northern"
Meto,Arte de la Lensua Pampama - Bereao
Metung,As a Numeral
Minan?Un,"Road, causeway; because it is elevated, it seems it is derived from Ban?un"
Min?Ua,"Mamin?ua, memin?ua, one who takes as his responsibility the defense, like the defense of another inaquarrel, dispute"
Misan,"One time, once uponatime, or on one occasion, Manaral ya misan, he was preaching at one time, Manaral ya minsan aldao, misan naman, at least onceaday"
Mistula,A thing of little worth
Mitla,"Baaba, a common tree, known to all"
Moa,See the Grammar
Mula,"garden (flower, vegetable, or kitchen garden)"
Mulad,always when; at every instance; whenever the occasion arises
Mulagat,eyes wide open in horror; a wide-eyed stare
Mulala,simpleton; one who stares blankly; a dazed person
Mulang,knavery from malice; the opposite of innocence
Mulansang,hair standing on end from anger or fear; overcooked rice that crackles
Mulasin,to frown from anger
Mulat,open (of the eyes); to open ones eyes
Mulatmuti,"a person who is now prominent, now obscure; now rich, now poor"
Mulimuli,the stern or aft of a boat
Mulingas,"Maca, become grim, frowning"
Mulingmuling,at the very back; rearmost position (variant of mulimuli)
Mulmul,water flowing from canals into rivers and then to the sea
Mumu,"small particles (breadcrumbs, sawdust, small coins)"
Muna,Interjectionof haste
Munag,"The first light that isasign that the Sun, the morning star, or the Moon is rising up there"
Munying,Like panagaola alan munying munying
Mungcaqui,"Mamungcaqui, or, memungcaqui, is said of one when he feels the need to be jovial, and brotherly to everybody, even it be withapoor man, if he wants to send for something, or he has need for something, seekingaleeway to obtain or gain what he desires"
Mungmun?An,"A small bell of the lnd, like those of the Visayas"
Munyan?It,"Mamunyan?it,- memunyan?it, to become furious with gestures"
Munsing,"The tiniest/ smallest mote, an atom, an iota"
Muntat,"Ha, of indication"
Mura,"Mean, despicable, cheap, materially and formally, opposite of Mai, dear"
Muri,Slimy moisture/discharge running from the eyes
Musang,"Dirtiness, or grime on the face"
Musmus,"Mischievous, synonym of Pelangga, a boy or girl who is frolicsome"
Muta,"A species of grass, short grass / fodder and its root"
Mutia,"Precious stone, in general"
Nabang,"Or, Paquinabang, advantage, gain, or fruit derived, shared, or produced from another thing"
Nabo,"And its infinitive, Mangnabo, to throw down, to throw from above"
Nacnac,"The abscess or the wound becoming swollen, or opened/ripened"
Naga,"That figure that is placed on the prow, or bow ofaboat"
Nayon,"An agreeable thing, or coordinated thing"
Nana,"N oun , pus"
Nanan,Nanan daca?
Nangnang,to gnaw or chew persistently on something
Nangun,see nangan; to desire or crave
Napnap,to gather everything; to collect all and leave nothing
Nasa,"N oun , des ir e"
Nasi,cooked rice
Nasnas,"A d jectiv e , uns titche dat thee n d , lik e , a rope , orthec o rdso faw h ip"
Natanat,to stretch oneself (as at the onset of a tertian fever)
Naua,"Widening, material and formal, opposite of Ascop"
Nauang,"Deformity, ugliness, m aterial and formal"
Nicnic,"Tiny mosquitoes that bite, but they do not buzz"
Nigla,"Manigla, adjective, asleep"
Ninim,"Macaninim, mecaninim, used withanegation, Emacaninim, like emiimicimic, could not speak out, like due to fear, or has nothing to answer with"
Ningning,"Brillance, like thatof a star, orof a diamond, etc"
Nio,"Fortune, opposite of Bigii, misfortune"
Nonao,"Ica and Maca, and is said well of plants"
Nuan,"Blessed, blest, because, Manauaya biay"
Nucan,Nephew
Nunu,"Grandfather, or grandmother"
Nunus,"Magnunus, etc., one who does not let go ofathing until he has finished it"
Nusnus,Inusnus
Ngangas,"Man?an?as, men?an?as, to become daring"
N?Anib,"Danger from enemies, crocodiles"
N?Asn?As,"Sound/noise ofadog, or rat, gnawing something"
N?Atba,That which
N?Atn?At,Sound of rat gnawing something
N?Ean,"Antiquity, ancient times"
N?Eni,"Of time, now"
N?Eta,"N?etain, n?etaninan"
N?Eti,Of conjecture
N?Eung,"N eutral verb, future, the cat meows"
Ognay,"And its infinitive, manosnav"
Ognas,"And its infinitive, manosnas"
Ogto,"Ogtong aldao, or, caugtuan aldao, midday, noon; variation: to work/ makeathing until midday, to stay until / be overtaken by midday"
Oyab,Effect
Oyag,"A djective, indicative sign, symptom"
Onyat,"To unfold by stretching outastring, or wire"
Oua,"Of assent, yes"
Ouay,"Ouay maqui balay, from the house and from its owner"
Pacang,"Tired, weary, like of fighting, orof carryingaburden"
Pacao,"The edge or approach of one or other part ofariver, or ofacanal which consists of the form given to it"
Pacday,"It is said of the traits of the seed, from which it is known if it will turn out good, or bad, like the grains of palay"
Pac-Cli,"Broken into two, likeacane, a stick, oraleg, but not lengthwise"
Pacna,to be firm in ones opinion or opposition; to compete resolutely
Pacnit,"Flayed,or detached, disjoined"
Pacpac,"Plume, feather, wihg"
Pacsa,"Of intent, purposely"
Pacsing,"Little stick, drumstick"
Pacting,The synonym of Pacsing
Pactong,"With the same variations, it is similar in meaning as Pacsing and Pacting, but the beating is done withabigger stick, likeabludgeon, or truncheon"
Paco,"Nail, spike, including those made of iron"
Pac-Cuid,to walk like a person with a broken hip or crooked spine
Pagui,"Ray fish, sting ray"
Paguilat,"Paguilat, pepaguilat, and its infinitive, Mamaguilat, to censure, to reproach, upbraid; it is done by placing the forefinger on the right eye and opening it widely, to sneer, or mock somebody, like one who says he has done his work well, but has taken another thing instead"
Pagulung,"Certain implements, one that rolls to fling away the grass, and the other to level the earth/soil, also by rolling over it"
Payacpac,"Payacpac, mayacpac, and its infinitive, to flap the wings, likeabird flapping its wings in flying, orarooster flapping its wings before crowing"
Payao,"Hoarse, rough voice"
Payapaya,"Micapayapayapamo, said of one who waits for an opportune time, or one who bides time to let anger pass, subside"
Payapay,"And its infinitive, mamavapav"
Paid,"And its infinitive, mamaid"
Paidpid,"Man?apaidpid, if many"
Payong,"Awning, ledge, shed, umbrella"
Pais,"to heat something wrapped in leaves, like a poultice or food steamed in leaves"
Pait,"N oun , b ittern ess"
Payus,dried or salted fish; also: fermented fish paste (bagoong)
Payuspus,"A d jectiv e , aplant w ithou t leav e s , bec aus eit isde cay in g"
Pala,shovel; spade; also: indeed; of course (particle of affirmation)
Palabul,"something that may be of service, use, or sustenance"
Palac,scum; lees; sediment of a liquid
Palacol,"N oun , axe"
Palad,palm of the hand
Palagpag,to reap or harvest palay (unhusked rice)
Palay,unhusked rice; rice grain still in the husk
Palayao,caress; expression of endearment (as from parent to child)
Palam,to marinate; to soak fish or meat in liquid before cooking
Palamara,thoughtless; rashly overbold; imprudent
Palambang,something that may or may not adhere; unreliable grip
Palan,moderation; temperance
Palanacan,uterus; womb where the fetus grows
Palang,large knife; bolo
Palangapang,overbearing in words or deeds
Palapa,fleshy joints or stalks of a plant that taper toward the tip
Palara,gold leaf; silver foil
Palas,"And its infinitive, mamalas"
Palaspas,coconut palm fronds
Palatpat,a wild tree that grows in saltwater
Palbud,to clear fields in advance to improve the harvest
Palcaya,"Malcaya, milcaya, and its infinitive, Mamalcaya, memalcaya, to till the land out of season, with the help of irrigation, different from Man?arayom, tilling / sowing the field during rainyse aso n"
Paldac,stomp of the feet; foot strikes in dancing
Paldan,capapaldán; fitted or even (as a measure)
Paldas,mourning; bereavement
Paldupan,brazier; pan for holding coals; hearth
Palepay,fins and tail of a fish
Paleragul,"N oun , asp ecieso f palay"
Pali,the spleen of an animal
Palian,the anvil
Palid,dirt; grime that comes off the skin when rubbed
Paligui,ditch or drainage channel
Palimanoc,a type of ray fish
Paling,cheek and jaw
Palipao,loop trap for catching ducks or birds
Palipi,descendant; of descent from a lineage
Palipit,"A twis ted ortw ined , ben tob ject, liketre e , but inaw aythat itca n stillbe s tra ightene d"
Palis,constantly changing; shifting without settling (opinion or will)
Palitpit,long and thin (like a rolled parchment)
Palpad,flat object (like a handle of a feeding trough)
Palpal,to pack tightly; to compress into a space
Palsaquiti,"Palsaquitinan, pilsaquitinan, (note the added ), the field"
Paltac,"And its infinitive, mamaltac"
Paltoc,whip
Paltocos,wooden shoes; clogs
Paltos,large blisters
Paluc,"Mipalucpaluc, is said of one who does not understand other implications ofacertain matter"
Paluca,stick; rod; truncheon; club
Palunpun,"And its infinitive, mamalunpun"
Palung,The crest ofacock
Palungpung,large roots or stumps blocking a path because they were not cut to the ground
Palopalo,"N oun , S oap"
Paluluy,A certa insp ecieso fbird s
Palus,a type of eel
Palusi,"N oun , polestopu tup , ors upp o rtan awn in g"
Palut,"A c tivev erb , malut"
Pallat,"A d jectiv e , extrac teds apo f sesame"
Pamaguil,"N oun , b lemis h , flaw , like a bad linea g e / race , likethen egritoes"
Pamalan,one who waits for what may come or what may be achieved
Pamallyan,"A d jectiv e , saidof vainob servan ces, orsupe rstitions"
Paman?Olo,something made and done by a leader or head because no one else can do it alone
